Name,EXPT,Kept
Molecule1,-4.35,1
Molecule2,-3.33,1
Molecule3,-6.98,0
Molecule4,-6.09,1
Molecule5,-3.92,1
Molecule6,-4.5,1
Molecule7,-5.04,1
Molecule8,-3.5,1
Molecule9,-2.23,1
Molecule10,-3.19,1
Molecule11,-2.7,1
Molecule12,-4.4,1
Molecule13,-5.6,1
Molecule14,-3.54,1
Molecule15,-3.52,1
Molecule16,-3.21,1
Molecule17,-2.67,1
Molecule18,-4.07,1
Molecule19,-4.45,1
Molecule20,-3.19,1
Molecule21,-3.63,1
Molecule22,-4.93,1
Molecule23,-3.08,1
Molecule24,-1.09,1
Molecule25,-2.55,1
Molecule26,-2.3,1
Molecule27,-3.12,1
Molecule28,-2.52,1
Molecule29,-3.14,0
Molecule30,-2.65,1
Molecule31,-2.68,1
Molecule32,-8.4,1
Molecule33,-2.28,1
Molecule34,-1.17,1
Molecule35,-1.68,1
Molecule36,-2.08,1
Molecule37,-5.06,1
Molecule38,-4.43,1
Molecule39,-3.81,1
Molecule40,-3.07,1
Molecule41,-2.37,1
Molecule42,-1.85,1
Molecule43,-1.73,1
Molecule44,-2.89,1
Molecule45,-1.32,1
Molecule46,-1.09,1
Molecule47,-1.5,1
Molecule48,-2.43,1
Molecule49,-0.89,1
Molecule50,-0.79,1
Molecule51,-1.91,1
Molecule52,-1.9,1
Molecule53,-2.38,1
Molecule54,-2.15,1
Molecule55,-1.59,1
Molecule56,-1.71,1
Molecule57,-1.54,1
Molecule58,-1.32,1
Molecule59,-1.32,1
Molecule60,-9.33,1
Molecule61,-9.03,1
Molecule62,-7.8,1
Molecule63,-8.19,1
Molecule64,-6.19,1
Molecule65,-7.87,1
Molecule66,-8.23,1
Molecule67,-8.66,1
Molecule68,-5.26,1
Molecule69,-8,1
Molecule70,-8.8,1
Molecule71,-8.49,1
Molecule72,-6,1
Molecule73,-6.74,1
Molecule74,-8.06,1
Molecule75,-8.6,1
Molecule76,-6.35,1
Molecule77,-3.6,1
Molecule78,-4.48,1
Molecule79,-7.11,1
Molecule80,-4.31,1
Molecule81,-2.82,1
Molecule82,-6.68,1
Molecule83,-8.04,1
Molecule84,-5.22,1
Molecule85,-4.91,1
Molecule86,-5.96,1
Molecule87,-7.92,1
Molecule88,-7.92,1
Molecule89,-7.85,1
Molecule90,-4.63,1
Molecule91,-3.04,1
Molecule92,-4.37,1
Molecule93,-2.64,1
Molecule94,-3.1,1
Molecule95,-3.52,1
Molecule96,-4.15,1
Molecule97,-3.27,1
Molecule98,-2.59,1
Molecule99,-3.18,1
Molecule100,-2.1,1
Molecule101,-1.97,1
Molecule102,-2.15,1
Molecule103,-2.15,1
Molecule104,-6.08,1
Molecule105,-4.74,1
Molecule106,-3.3,1
Molecule107,-4.25,1
Molecule108,-3.85,1
Molecule109,-4.47,1
Molecule110,-4,1
Molecule111,-5.19,1
Molecule112,-4.27,1
Molecule113,-1.64,1
Molecule114,-3.96,1
Molecule115,-4.15,1
Molecule116,-4.36,1
Molecule117,-5.05,1
Molecule118,-4.23,1
Molecule119,-4.15,1
Molecule120,-3.55,1
Molecule121,-4.74,1
Molecule122,-3.66,1
Molecule123,-4.36,1
Molecule124,-4.17,1
Molecule125,-0.4,1
Molecule126,-4.62,1
Molecule127,-3.37,1
Molecule128,-3.03,1
Molecule129,-1.64,1
Molecule130,-4.64,1
Molecule131,-3.01,1
Molecule132,-4.24,1
Molecule133,-8.33,1
Molecule134,-8.17,1
Molecule135,-8.4,1
Molecule136,-7.96,1
Molecule137,-5.88,1
Molecule138,-5.51,1
Molecule139,-5.24,1
Molecule140,-5.05,1
Molecule141,-5.21,1
Molecule142,-3.66,1
Molecule143,-4.53,1
Molecule144,-4.44,1
Molecule145,-3.84,1
Molecule146,-3.73,1
Molecule147,-4.06,1
Molecule148,-2.36,1
Molecule149,-3.18,1
Molecule150,-3.23,1
Molecule151,-3.82,1
Molecule152,-3.82,1
Molecule153,-2.57,1
Molecule154,-2.68,1
Molecule155,-2.68,1
Molecule156,-4.17,1
Molecule157,-3.28,1
Molecule158,-3.21,1
Molecule159,-6.89,1
Molecule160,-4.29,1
Molecule161,-3.75,1
Molecule162,-3.11,1
Molecule163,-2.77,1
Molecule164,-1.99,1
Molecule165,-1.24,1
Molecule166,-2.73,1
Molecule167,-1.94,1
Molecule168,-1.94,1
Molecule169,-2.54,1
Molecule170,-2.54,1
Molecule171,-2.09,1
Molecule172,-7.02,1
Molecule173,-6.57,1
Molecule174,-7.01,1
Molecule175,-6.59,1
Molecule176,-5.85,1
Molecule177,-6.57,1
Molecule178,-4.92,1
Molecule179,-4.14,1
Molecule180,-4.74,1
Molecule181,-5.89,1
Molecule182,-4.29,1
Molecule183,-3.7,1
Molecule184,-5.23,1
Molecule185,-4,1
Molecule186,-4.72,1
Molecule187,-4.59,1
Molecule188,-3.31,1
Molecule189,-3.2,1
Molecule190,-2.8,1
Molecule191,-5.84,1
Molecule192,-6.96,1
Molecule193,-4.89,1
Molecule194,-3.77,1
Molecule195,-3.4,1
Molecule196,-2.82,1
Molecule197,-4.62,1
Molecule198,-2.77,1
Molecule199,-2.21,1
Molecule200,-0.41,1
Molecule201,-2.4,1
Molecule202,-2.33,1
Molecule203,-2.03,1
Molecule204,-2.56,1
Molecule205,-1.36,1
Molecule206,-1.08,1
Molecule207,-0.9,0
Molecule208,0.29,1
Molecule209,-4.12,1
Molecule210,-5.08,1
