"ID","SMILES","OBSERVED","PREDICTED","fold"
"1025","CC1=NC=C(CO)C(CO)=C1O",22,27.5258066666667,"Fold1.Rep1"
"10342604","[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC",70,71.2866666666666,"Fold1.Rep1"
"10468813","CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C",89,84.96074,"Fold1.Rep1"
"106770","CCCN[C@H]1CCC2=C(C1)SC(N)=N2",15,38.0024033333333,"Fold1.Rep1"
"1098","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N",92,36.16302,"Fold1.Rep1"
"118219","C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C",99.9,88.22453,"Fold1.Rep1"
"12041","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O",95,62.7247133333333,"Fold1.Rep1"
"1266005","CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12",99,82.8690866666667,"Fold1.Rep1"
"131410","C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1",36,39.83068,"Fold1.Rep1"
"133160","NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N",99,79.2946300000001,"Fold1.Rep1"
"1361582","CCOC1=C(OCC)C=C(\C=C2/NCCC3=CC(OCC)=C(OCC)C=C23)C=C1",87,90.0200919999999,"Fold1.Rep1"
"17270","CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O",1,29.53126,"Fold1.Rep1"
"17347474","CC(C)(C)C1=CC(=C(O)C=C1NC(=O)C1=CNC2=CC=CC=C2C1=O)C(C)(C)C",99,91.9509103333334,"Fold1.Rep1"
"181000","CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2",82,70.1076816666667,"Fold1.Rep1"
"187440","CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1",99.5,93.5916396666667,"Fold1.Rep1"
"187515","NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O",30,41.3102833333334,"Fold1.Rep1"
"1906","CC(=O)NC1=CC=C(O)C=C1",25,39.6899733333333,"Fold1.Rep1"
"19105","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1",20,35.2710633333333,"Fold1.Rep1"
"19879943","CC1=NN(C(=O)\C1=N/NC1=C(O)C(=CC=C1)C1=CC=CC(=C1)C(O)=O)C1=CC=C(C)C(C)=C1",99,94.193984,"Fold1.Rep1"
"199761","[H][C@@]12CC[C@H](OC(=O)CCC3=CC=CC=C3)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]",58,86.975724,"Fold1.Rep1"
"2074","CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC",17,59.7647166666667,"Fold1.Rep1"
"2160","COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1",96.7,90.8185623333333,"Fold1.Rep1"
"2253","NS(=O)(=O)C1=C(Cl)C=C2NC(CSCC3=CC=CC=C3)=NS(=O)(=O)C2=C1",30,81.1411566666667,"Fold1.Rep1"
"2261","CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1",99,88.676704,"Fold1.Rep1"
